tipo,unidad,clase,descripcion,modelo,proveedor1,moneda1,fecha1,proveedor2,precio2,fecha2,proveedor3,precio3,fecha3,precio1,marca,moneda2,moneda3
HARDWARE Y SOFTWARE,Paquete,equipos y componentes,"Office BASICO Hogar y Empresas 2024 Para 1PC (Word, Excel y PowerPoint), Lic.Perpetua",Home&Business24,Microsoft Corporation,MXN,26/11/2024,,0,,,0,,6.5,Microsoft,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Clema porta fusible tipo WTR 2.5/SI 10-36V AC/DC, conexi�n brida-tornillo",1763950000,,,,,12/30/1899,,,0,,0,WEIDM�LLER,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Gabinete Metalico AX 1200X800X300 con Platina,1280000,SIEN,MXN,09/08/2024,,0,,,0,,7.6,Rittal,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Contactor trifasico, bobina 24VDC,440VCA,15HP,45A",1SBL1236001R2100,,,,,0,,,0,,0,ABB,,
CONDULETS Y ACCESORIOS,Pza,material,"Condulet LB serie 3 con tapa de 2-1/2""",LB73,BRICOS (MAYOREO ELECTRICO),MXN,01/07/2025,,0,,,0,,722,NEWCOND,,
CABLES DE CONTROL,mts,material,"Cable Blindado 4x18 Con Pantalla y Drain, 300V",F-18-CU-P-4H-MA-B-P 300V,ELECTRONICA INDUSTRIAL MOCLOVA,MXN,23/01/2026,,0,,,0,,43,EIM,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Relevador Mini 8Amp 24Vac 2P2T 8Pin,46.62.8.024.0040,ACOMEE,MXN,03/03/2025,,0,,,0,,180,Finder,,
ACCESORIOS Y CONSUMIBLES,Pza,material,Carga Exotermica No. 150,10050371,ACOMEE,MXN,09/10/2024,,0,,,0,,310,BurndyWeld,,
CONDULETS Y ACCESORIOS,Pza,material,"Condulet Tipo LR De de Aluminio De 1-1/2"", CL-I, Div2, serie 85, Con Recubrimiento de PVC e interior de uretano amarillo",RYC-LR150A,RISOUL,MXN,10/02/2026,,0,,,0,,1.37,Repsa,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Procesador De Frecuencia/Velocidad Con Pantalla LCD,X3MA-FA2 24VAC/VDC,,,,,1899-12-30,,,0,,0,OMRON,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Cabezal boton selector no iluminado, retorno al centro, 3 posiciones, color negro, 22mm",1SFA611211R1006,ACOMEE,MXN,10/10/2025,,0,,,0,,232,ABB,,
ACCESORIOS Y CONSUMIBLES,Pza,material,Tapon Macho De Acero Inoxidable 1/2'' NPT,"TG-TaponMSS/1/2""",CMINOX,MXN,05/05/2025,,0,,,0,,100,Sin Especificar,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Bloque Led Luz Piloto, Color Rojo, 22mm, 110-130VCA, MLBL-04R",1SFA611621R1041,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,15/01/2026,ACOMEE,0,09/12/2025,,0,,170,ABB,MXN,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Guarda motor trifasico, 440VCA, 50HP, 52-65A",1SAM451000R1017,,,,,12/30/1899,,,0,,0,ABB,,
ACCESORIOS PARA CABLES,Pza,material,"Terminal universal de aluminio, 1 orificio, dos: 6 AWG (Str)-300 kcmil, perno de 5/16"", 2 tornillos, clasificaci�n Al/Cu, esta�ado.",K11A30U,Grainger,MXN,02/12/2024,,0,,,0,,1.665,Burndy,,
CABLES DE FUERZA,mts,material,"Cable Monopolar Calibre 16 AWG THW-LS/THHW-LS 600V, Color Rojo. GC",C15CD00016PARO,RISOUL,MXN,09/02/2026,,0,,,0,,6,General Cable,,
CONDULETS Y ACCESORIOS,Pza,material,"Conector Conduit de PVC Uso Pesado de 3/4"" C/Tuerca",CONPT19,,,,,0,,,0,,0,DEPLAYUSA,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Puente de 10 polos comun para base de relevador,1132080000,,,,,0,,,0,,0,WEIDM�LLER,,
CABLES DE CONTROL,mts,material,Cable para se�ales an�logas de 5x18 con Pantalla y Dren,TG-XX-CANALOG5X18-PD,,,,,0,,,0,,0,Sin especificar,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Contacto Auxiliar Para Desconectador, 1-NA, 16A, para OT16 hasta OT2500",OA1G10,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,09/09/2024,,0,,,0,,290,ABB,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Arrancador De Estado Solido SMC-FLEX, Tipo Abierto, 317A, 125-250 HP @ 460 VCA, Entrada 200-480 VCA 3 Fases, Control",150-F317NBD,RISOUL,USD,29/01/2025,,0,,,0,,6.515,Allen Bradley,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Guarda motor (manual motor starter) 6.3...10A,MS132-10,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,02/05/2024,,0,,,0,,1.249,ABB,,
TUBERIA CONDUIT,Tramo,material,"Tubo conduit pared gruesa de acero galvanizado con cople de 1-1/4""",TPG32RY,BRICOS (MAYOREO ELECTRICO),MXN,19/06/2024,SURTIDOR ELECTRICO,0,29/08/2025,,0,,398,Rymco,MXN,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Clemas De Tierra WPE10.,1010300000,BRICOS (MAYOREO ELECTRICO),MXN,26/03/2026,,0,,,0,,72,WEIDM�LLER,,
CONDULETS Y ACCESORIOS,Pza,material,"Tuerca monitor de 2""",1036/ 4900250,BRICOS (MAYOREO ELECTRICO),MXN,16/01/2026,,0,,,0,,30,Crouse Hinds,,
ACCESORIOS PARA CABLES,Pza,material,"Conector Glandula Metalico de 1/2, CGB195",17140,BRICOS (MAYOREO ELECTRICO),MXN,01/10/2025,,0,,,0,,88,Crouse Hinds,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Clema fusible tipo WSI 4/LD 10-36V AC/DC con LED (Fusible G20) y conexi�n brida-tornillo,1886590000,BRICOS (MAYOREO ELECTRICO),MXN,26/03/2026,ACOMEE,0,10/09/2025,,0,,100,WEIDM�LLER,MXN,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Block de distribucion, 1 polos, 1 ent (2-14AWG) / 4 SAL (10-18AWG), 115 A",LD14401Z,,,,,0,,,0,,0,LITTLEFUSE,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Contactor SIRIUS 3RT Size S0, 3RT2, 3P, 2 NA + 2 NC, 32A, bobina 24Vdc, 11 kW",3RT2026-1BB44,wesco,MXN,07/08/2025,,0,,,0,,3.6,SIEMENS,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Panel de Parcheo de Impacto 110, Plano, Categor�a 6, de 48 Puertos, 2UR",NK6PPG48Y,SYSCOM,MXN,05/11/2024,,0,,,0,,12.3,Panduit,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Boton Pulsador Momentaneo No Iluminado Color Rojo 30mm, 1NO+1NC",800T-A6A,RISOUL,USD,27/03/2026,,0,,,0,,36,Allen Bradley,,
GABINETES Y COMPONENTES,Jgo,equipos y componentes,Juego De Terminales Para ITM T6 800A,1SDA013956R1,ACOMEE,MXN,04/02/2025,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),0,06/02/2025,,0,,6.8,ABB,MXN,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Base para Relevador, Carril DIN, 8 Pines, 10 A, 250 V, Serie 95, panel, Tornillo",95.05,ACOMEE,MXN,21/10/2025,,0,,,0,,115,Finder,,
TUBERIA CONDUIT,Tramo,material,"Tubo conduit pared gruesa de acero galvanizado con cople de 2-1/2""",TPG63RY,SURTIDOR ELECTRICO,MXN,30/09/2024,SURTIDOR ELECTRICO,0,29/08/2025,,0,,1.44,Rymco,MXN,
CABLES DE FUERZA,mts,material,"Cable monopolar calibre 250 AWG THHW-LS 90 �C, 600V color negro",SLC322,BRICOS (MAYOREO ELECTRICO),MXN,01/07/2025,,0,,,0,,523,Viakon,,
ACCESORIOS Y CONSUMIBLES,Jgo,equipos y componentes,"Juego de Terminales Para ITM (14-1 AWG), Para XT1, 100-160A, TMD (6 Pza)",1SDA066907R1,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,03/11/2025,,0,,,0,,315,ABB,,
TUBERIA CONDUIT,Pza,material,"Codo Conduit de 1-1/2"" x 90� Pared Gruesa, OM",MET-3515,IMPULSORA,MXN,08/05/2025,,0,,,0,,145,OMEGA,,
ACCESORIOS Y CONSUMIBLES,Pza,equipos y componentes,Modulo De 6 Entradas Tipo RTD/ Resistencia Para CompactLogix,1769-IR6,RISOUL,USD,27/12/2024,,0,,,0,,1.223,Allen Bradley,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Modulo de Entradas Anal�gicas 8 Canales, �10 V",5069-IF8,RISOUL,USD,20/03/2026,,0,,,0,,926,Allen Bradley,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Mini Interruptor Termomagnetico IC60N Curva C 2PX6A,A9F74206,IMPULSORA,MXN,14/05/2025,,0,,,0,,430,Schneider,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Pulsador, 22 mm Redondo, metal brillante, Rojo, Boton rasante momentaneo con soporte, 1NC, Borne de Tornillo",3SU1150-0AB20-1CA0,wesco,MXN,11/08/2025,,0,,,0,,379,SIEMENS,,
CABLES DE CONTROL,Pza,material,"Conector con cable puntas abiertas para conecar un paro de emergencia (requiere fuente de 20VDC). CABLE, PIGTAIL, FOR MR-J4-D05, 3 METER",MR-J4-D05UDL3M-B,ULTATEK,USD,09/07/2024,,0,,,0,,90,MITSUBISHI,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Lamina Reflectora �Diamond Grade�, Autoadhesiva, De 749 x 914 mm.",5320565,CTQ,USD,19/12/2024,,0,,,0,,486,SICK,,
ACCESORIOS Y CONSUMIBLES,Pza,equipos y componentes,Filtro De Linea 40A Emc Para Kinetix 5700,2198-DBR40-F,RISOUL,USD,10/11/2025,,0,,,0,,545,Allen Bradley,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Fusible de 1A,430700000,BRICOS (MAYOREO ELECTRICO),MXN,10/09/2025,,0,,,0,,19,WEIDM�LLER,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Resistencia De Freno Dinamico Para Powerflex 750, Frame 1, 1-3 HP ND, 115 Ohms",20-750-DB1-D1A,RISOUL,USD,20/03/2025,,0,,,0,,200,Allen Bradley,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Interruptor Electronico PowerPact de 1200amp, 3 polos, 65 kA a 600V, I-Line",PJA36120U41A,BRICOS (MAYOREO ELECTRICO),MXN,14/07/2025,,0,,,0,,115.72,SquareD,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Arrancador PowerFlex 753 De Frecuencia Variable VFD 3HP ND/HD, 480VAC, 5A",20F11ND5P0JA0NNNNN,RISOUL,USD,21/04/2025,,0,,,0,,1.52,Allen Bradley,,
CABLES DE CONTROL,mts,material,Cable Multiconductor 12 x16 de 300 a 500V,300120015,NORDEN KABEL,USD,12/09/2024,,0,,,0,,0,YSLY JZ,,
CHAROLAS Y ACCESORIOS,Pza,material,"Pieza de charola en T de 24""",THZ-24R081A,Soportes Electricos,MXN,05/09/2024,,0,,,0,,690,Soportes El�ctricos,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Arrancador VFD Trifasico 460VAC De 2 HP'S, IP21, 4A",25B-D4P0N114,RISOUL,USD,27/11/2024,,0,,,0,,827,Allen Bradley,,
SISTEMA NEUMATICO,Kit,material,Kit De Fijacion (P/Sensor SMPO-8E),SMB-8E,RISOUL,MXN,26/11/2024,,0,,,0,,215,FESTO,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Herraje De Montaje Para Display De Rf En Puerta,ho204729,,,,,0,,,0,,0,HONEYWELL,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Fuente De Poder, Entrada 100-240V AC, salida 24 VDC 20A, 480W",1606-XLB480E,RISOUL,USD,09/03/2026,,0,,,0,,277,Allen Bradley,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Modulo De 4 Salidas Digitales 120 VAC Para Point IO,1734-OA4,RISOUL,USD,06/02/2026,,0,,,0,,181,Allen Bradley,,
