tipo,unidad,clase,descripcion,modelo,proveedor1,moneda1,fecha1,proveedor2,precio2,fecha2,proveedor3,precio3,fecha3,precio1,marca,moneda2,moneda3
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Mini Interruptor Termomagnetico IC60N Curva C 2PX20A,A9F74220,IMPULSORA,MXN,14/05/2025,,0,,,0,,430,Schneider,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"JUEGO DE 2 ZOCLOS LATERAL PARA GABINETE MET�LICO DE 2000X1000X600 mm, IS2 ABB",ZN6000,BADESA,MXN,15/08/2025,,0,,,0,,1.46,ABB,,
CONDULETS Y ACCESORIOS,Carrete,material,Tubo corrugado PAD 3'' (rollo de 6.1 mts),TUBCO75,BRICOS (MAYOREO ELECTRICO),MXN,18/09/2024,COEL (Material y equipo electrico),0,03/04/2025,,0,,220,ADS,MXN,
,,,,,,,,,0,,,0,,0,,,
ACCESORIOS Y CONSUMIBLES,Pza,material,"Clavija Entrada Recta 15 Amp,125 V, Para Uso Industrial",5266-c,HOME DEPOT,MXN,31/01/2025,,0,,,0,,250,Leviton,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Licencia Windows Server 2022,TG-SFW-WS2022,abasteo,MXN,20/10/2025,,0,,,0,,22,Microsoft,,
,,,,,,,,,0,,,0,,0,,,
ACCESORIOS Y CONSUMIBLES,Pza,material,Traje Overol Desechable Tipo Tyvek Con Capucha,706888,HOME DEPOT,MXN,04/06/2025,,0,,,0,,170,Vargas S.A.,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Switch Industrial Ethernet, 8 puertos, detecci�n autom�tica de la velocidad, funci�n autocrossing",FL SWITCH SFN 8TX,ACOMEE,MXN,07/08/2025,,0,,,0,,4.1,PHOENIX CONTACT,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Paquete,equipos y componentes,Cubrierta Final PLS1600 PK De 2,9342070,BRICOS (MAYOREO ELECTRICO),MXN,13/10/2025,,0,,,0,,110,Rittal,,
CABLES DE FUERZA,mts,material,"Cable multiconductor 3X12, 600V uso rudo",MCURE312NE-IN,SURTIDOR ELECTRICO,MXN,01/04/2026,,0,,,0,,68,Indiana,,
,,,,,,,,,0,,,0,,0,,,
CHAROLAS Y ACCESORIOS,Pza,material,"Reduccion de charola recta de 24"" a 12""",RLZ-24121A,SE Sistemas para Cableado,MXN,30/09/2023,,0,,,0,,195,Soportes El�ctricos,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Fuente De Alimentacion Estabilizada SITOP PSU8200 48 V/10amp Entrada: 400-500V 3 AC Salida: 48V DC/10amp,6EP34468SB000AY0,ACOMEE,MXN,18/07/2025,,0,,,0,,10,SIEMENS,,
CONDULETS Y ACCESORIOS,Pza,material,"Abrazadera Tipo U de 1-1/2"" Roscada",9830250,Indelek,MXN,18/09/2024,,0,,,0,,9,Argos,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Controlador 1MB MEMORIA, Expansion De 4 I/O, 16 Nodos Ethernet IP, 4 Ejes CIP Motion Con Funci�n Kinematics, 2",1769-L27ERM-QBFC1B,RISOUL,USD,09/03/2026,,0,,,0,,4.52,Allen Bradley,,
CONDULETS Y ACCESORIOS,Pza,material,"Condulet Tipo C De de Aluminio De 1"", CL-I, Div2, serie 85, Con Recubrimiento de PVC e interior de uretano amarillo",RYC-C100A,RISOUL,MXN,,,0,,,0,,0,Repsa,,
TUBERIA CONDUIT,Pza,material,"Cople Conduit De Aluminio, C-40 Con De 3/4"" Con Recubrimiento De PVC y Uretano Amarillo",RYC-CPL75AL,RISOUL,MXN,23/01/2026,,0,,,0,,225,Repsa,,
TUBERIA CONDUIT,Tramo,material,"Tubo Conduit De Aluminio Con Recubrimiento De PVC Con Cople De 3/4""",RW-TC-ALUM/PVC-CC-3/4,MAESA (MAYORISTAS ELECTRICOS DE MONTERREY),MXN,28/08/2023,,0,,,0,,1.573,Rawelt,,
CONDULETS Y ACCESORIOS,Pza,material,"Condulet Tipo LL De de Aluminio De 1-1/4"", CL-I, Div2, serie 85, Con Recubrimiento de PVC e interior de uretano amarillo",RYC-LL125A,RISOUL,MXN,10/02/2026,,0,,,0,,1.2,Repsa,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Gabinete Met�lico 600x600x300 con Platina, IP66",AEM66/300PM,IMPULSORA,MXN,25/02/2026,,0,,,0,,2.4,ARGOS,,
,,,,,,,,,0,,,0,,0,,,
CABLES DE FUERZA,mts,material,"Cable Desnudo Calibre 1/0 AWG, 7H de Cobre Semiduro, Clase A",A083,BRICOS (MAYOREO ELECTRICO),MXN,11/10/2024,SYSCOM,0,05/10/2024,,0,,141,Viakon,MXN,
,,,,,,,,,0,,,0,,0,,,
CONDULETS Y ACCESORIOS,Pza,material,"Condulet LL serie 3 con tapa de 1-1/4""",12143103,BRICOS (MAYOREO ELECTRICO),MXN,28/02/2025,,0,,,0,,144,Crouse Hinds,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Contactor Trifasico, Bobina 120VCA,440VCA, 15HP, 45A, AF26-30-00-13",1SBL237001R1300,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,15/01/2026,ACOMEE,0,03/11/2025,,0,,1.111,ABB,MXN,
TUBERIA CONDUIT,Tramo,material,"Tubo PVC Conduit Uso Pesado de 1-1/4""",202040,BRICOS (MAYOREO ELECTRICO),MXN,24/01/2025,,0,,,0,,49,DEPLAYUSA,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Gabinete acero inoxidable, 300X200X150mm, IP66, con puerta y platina, tipo SRX",SRN3215X,,,,,0,,,0,,0,ABB,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Interruptor termomagn�tico ppal 63A XT1-3P/160,1SDA067414R1,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,10/11/2023,ACOMEE,0,10/02/2025,,0,,2.25,ABB,MXN,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Relevador de sobrecarga trifasico, 440VCA,3HP,5.7-7.6A",1SAZ7212201R1040,,,,,0,,,0,,0,ABB,,
ACCESORIOS Y CONSUMIBLES,Pza,material,Taquete Arpon Galvanizado de 1/4� X 2-1/4�,ANC-AA14-214,SYSCOM,MXN,14/05/2025,,0,,,0,,15,ANCLO,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Modulo Base Para Grupo de Alimentacion de 16 Pts Entradas Digitales ET200SP,6ES7193-6BP00-0DA0,WESCO,MXN,17/06/2024,,0,,,0,,805,SIEMENS,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,SSR RM1A Sin 1 50 480VCA 4-32VCD Resistiva Estandar,RM1A48D50,Electronica Universal De Monterrey,MXN,03/06/2025,,0,,,0,,1.3,Carlo Gavazzi,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Interruptor Termomangnetico 3x 200amp 25KA 240V, 18KA 480V, 14KA 600V (Itm Ppal p/NQ)",JDL36200,BRICOS (MAYOREO ELECTRICO),MXN,20/08/2024,,0,,,0,,19.525,SquareD,,
CABLES DE FUERZA,mts,material,"Cable Monopolar Calibre 8 AWG THW-LS/THHW-LS 600V, Color Blanco. GC",C15CD00008PABL,RISOUL,MXN,09/02/2026,,0,,,0,,30,General Cable,,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
ACCESORIOS GRUAS AEREAS,Pza,material,Brazo De Arrastre Para Carro 35Amp,RG 06,Gruas RESEMSA,USD,15/07/2025,,0,,,0,,25,Urbelaser,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Angulo De Conexi�n Para Adaptador De Aparellaje CB 10X15 5X08MM,9342570,BRICOS (MAYOREO ELECTRICO),MXN,13/10/2025,,0,,,0,,385,Rittal,,
CONDULETS Y ACCESORIOS,Pza,material,"Condulet C serie 3 con tapa de 1-1/2""",C-53,BRICOS (MAYOREO ELECTRICO),MXN,19/06/2024,,0,,,0,,167,Crouse Hinds,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Centro De Carga De 6 Polos 100 A Monofasico,Qo612l100f,HOME DEPOT,MXN,10/07/2025,,0,,,0,,907,SquareD,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Gabinete de acero inoxidable IEC, con panel de montaje en pared, NEMA 4/4x12, IP66, collor gris de 600X600X210 mm",ASR0606021,RISOUL,USD,05/09/2024,,0,,,0,,477,Hoffman,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Panel De Montaje 432mm X 432mm (para gabinete A20H2010GQRLP),A20P20,RISOUL,USD,30/07/2025,,0,,,0,,84,Hoffman,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Paneles laterales para gabinete met�lico de 2000X400mm,TIPO IS2 - 2 pza",EL2040K,,,,,0,,,0,,0,ABB,,
ACCESORIOS ACERO INOXIDABLE,Pza,material,"PTR Cuadrado Acero Inoxidable de 2''x 2'' x 6.1M, C-3/16''","TG-PTRsS.2""x6.1m.C-3/16",MUNiNOX,MXN,07/05/2025,,0,,,0,,4.05,Sin Especificar,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Resistencia De Freno Dinamico Para Powerflex 750, 3 HP, 460-480VAC 750VDC. 250 OHMS",M3775RK-H3.00B,RISOUL,USD,22/04/2025,,0,,,0,,506,BONITRON,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Torre de se�alizaci�n,zoclo de fijaci�n de metal",1SFA616077R1013,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,10/11/2023,,0,,,0,,696,ABB,,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Caja Metalica de 50"" Para Tablero NQ/NF,NF430L2C",MH50,BRICOS (MAYOREO ELECTRICO),MXN,06/12/2024,,0,,,0,,1.567,SquareD,,
Tuberia Neumatica,Pza,material,"Codo 90� Galvanizado reforzado de 1/2""",3274,Ferremayoreo Elizondo,MXN,19/11/2024,,0,,,0,,9,CONEX,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Entrada Digital De 24 VCC, Entrada Digital Drenadora De 16 Puntos",5069-IB16,RISOUL,USD,09/03/2026,,0,,,0,,282,Allen Bradley,,
SISTEMA NEUMATICO,mts,material,Tubo De Plastico De 16mm,PUN-16X25-BL,RISOUL,MXN,26/11/2024,,0,,,0,,252,FESTO,,
HERRAJES DE FIJACI�N,Pza,material,Soporte Para Acces Point De 150cm,TG-SOP02-MAT,Tecnogam,MXN,05/11/2024,,0,,,0,,0,Tecnogam,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Variador de frecuencia 10 HP, 220 V trif�sco, Inverter, de alto rendimiento",HNC-HV100-7R5G2,SERVI CNC,USD,07/11/2025,,0,,,0,,595,HNC Electric,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Terminal Tipo RTB Kit De 4 A 6 Pines Tipo Tornillo,5069-RTB64-SCREW,RISOUL,USD,09/03/2026,,0,,,0,,38,Allen Bradley,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"INTERRUPTOR TERMOMAGN�TICO XT1C , 3PH, TMD, 80A",1SDA067396R1,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,24/07/2024,,0,,,0,,2.285,ABB,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Pulsador, 22 mm Redondo, metal brillante, Verde, Boton rasante momentaneo con soporte, 1NA, Borne de Tornillo",3SU1150-0AB40-1BA0,wesco,MXN,11/08/2025,,0,,,0,,379,SIEMENS,,
CONDULETS Y ACCESORIOS,Pza,material,"Condulet Tipo LB De de Aluminio De 1-1/2"", CL-I, Div2, serie 85, Con Recubrimiento de PVC e interior de uretano amarillo",RYC-LB150A,RISOUL,MXN,10/02/2026,,0,,,0,,1.37,Repsa,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Celda de Carga /Sensor de fuerza , Rango de medici�n: 150lb 670N",TS150SC-EC12,PARMEX,MXN,10/09/2024,,0,,,0,,59.5,Magpower,,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Contacto Auxiliar Para Disyuntor GV2ME 1NO+1NC,GVAN11,RISOUL,MXN,27/11/2024,,0,,,0,,370,Schneider,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Arrancador VFD VLT 18.5 KW, 25 HP, 380-480VAC, IP21, Sin Chopper De Frenado.",131B4976,ASESOR EL�CTRICO,USD,06/08/2025,,0,,,0,,3.295,Danfoss,,
ACCESORIOS Y CONSUMIBLES,Pza,equipos y componentes,Modulo De Comunicacion Ethernet/IP Para Power Flex-70,20-COMM-E,RISOUL,USD,03/04/2025,,0,,,0,,821,Allen Bradley,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Tapa para clema compensadora WDU2.5/TC,1050100000,BRICOS (MAYOREO ELECTRICO),MXN,29/01/2026,,0,,,0,,15,WEIDM�LLER,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Modulo Termopar Compactlogix y Micrologix 1500, 110 VCA",1769-IT6,RISOUL,USD,09/02/2026,,0,,,0,,1.27,Allen Bradley,,
,,,,,,,,,0,,,0,,0,,,
CONDULETS Y ACCESORIOS,Pza,material,"Conector Glandula De Plastico (Poliamida) De 3/4"", Tipo VG, Rosca NPT, WEI",7940127955,BRICOS (MAYOREO ELECTRICO),MXN,14/07/2025,,0,,,0,,49,WEIDM�LLER,,
,,,,,,,,,0,,,0,,0,,,
ACCESORIOS GRUAS AEREAS,Pza,material,Punto Fijo,RG 05,Gruas RESEMSA,USD,15/07/2025,,0,,,0,,5,Urbelaser,,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
CONDULETS Y ACCESORIOS,Pza,material,"Condulet C serie 3 con tapa de 1""",CH-C-S3-1,BRICOS (MAYOREO ELECTRICO),MXN,19/06/2024,,0,,,0,,80,Crouse Hinds,,
,,,,,,,,,0,,,0,,0,,,
CONDULETS Y ACCESORIOS,Pza,material,"Conector Glandula de Plastico de 1""",Por definir 227,,,,,0,,,0,,0,Sin especificar,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Gabinete Met�lico 30x30x10 cm con platina Nema 4,PENDIENTE 200,,,,,0,,,0,,0,HIMEL,,
CONDULETS Y ACCESORIOS,Pza,material,"Valvula Bola Doble Union Kit EPDM Para CPVC Cedula 80 De 1""",3629-010C,PVC G3,MXN,15/04/2025,,0,,,0,,1.656,Spears,,
,,,,,,,,,0,,,0,,0,,,
HARDWARE Y SOFTWARE,Licencia,equipos y componentes,Licencia Windows 7 Pro,TG-windows7,3Clics Mexico,MXN,26/06/2025,,0,,,0,,500,Microsoft,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"PLC Alimentaci�n en CD, Salida a Transistor, tipo source, dc BASE unIT, 16 DC In/16 Trans (source)",FX5U-32MT/DSS,ULTATEK,USD,09/07/2024,,0,,,0,,590,MITSUBISHI,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Zapata mecanica de Aluminio Tipo Escalera para 4 Cables cal.3/0 a 750 MCM,ZMACE-4-750-2N,GASTELUM & GASTELUM,MXN,27/01/2026,,0,,,0,,0,OTRA,,
CONDULETS Y ACCESORIOS,Pza,material,"Caja Condulet FS Rectangular De Aluminio De 1"", FS3",801003,BRICOS (MAYOREO ELECTRICO),MXN,10/04/2025,ALCIONE,0,16/01/2025,,0,,386,Crouse Hinds,MXN,
HERRAJES DE FIJACI�N,Pza,material,Soporte Para Acces Point De 20cm,TG-SOP01-MAT,Tecnogam,MXN,05/11/2024,,0,,,0,,0,Tecnogam,,
ACCESORIOS Y CONSUMIBLES,Pza,material,Rollo de Polietileno 7.6mts Para Uso Gral.,P10253bhmx,HOME DEPOT,MXN,17/01/2026,,0,,,0,,562,FROST KING,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Canaleta ranurada 100x100 mm, LS-05198",1SET411001R0000,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,15/01/2026,,0,,,0,,437,ABB,,
ACCESORIOS Y CONSUMIBLES,Pza,material,Conector Tope a Tope Calibre 8,YS8CL,ELECTRO PERSA,MXN,02/02/2026,,0,,,0,,0,Burndy,,
,,,,,,,,,0,,,0,,0,,,
TIERRAS FISICAS Y PARARRAYOS,Pza,material,Contador De Descargas Atmosfericas,AFB10601D,ELECTRICA RIMAR,USD,14/03/2025,,0,,,0,,550,Franklin France,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Zapata mecanica de Aluminio Tipo Escalera para 4 Cables cal.3/0 a 750 MCM,ZMACE-4-750-2N,GASTELUM & GASTELUM,MXN,27/01/2026,,0,,,0,,997,OTRA,,
,,,,,,,,,0,,,0,,0,,,
ACCESORIOS Y CONSUMIBLES,Kg,material,Soldadura 6013 de 3/32'',E6013-3,EL FERRETERO,MXN,30/12/2025,,0,,,0,,120,Trupper,,
TUBERIAS VARIOS TIPOS,Pza,material,"Tubing 5/8"" OD Cal. 16 Acero Inoxidable T316 x 6.10 Mts","TG-TubingSS-5/8""x6.1m",CMINOX,MXN,05/05/2025,,0,,,0,,4,Sin Especificar,,
Tuberia Neumatica,Pza,material,"Abrazadera tipo U�a de 1/2""",9810050,IMPULSORA,MXN,14/05/2025,Ferremayoreo Elizondo,0,19/11/2024,,0,,1,Argos,MXN,
TUBERIA CONDUIT,Tramo,material,"Tubo conduit pared delgada de acero galvanizado sin rosca de 1-1/4""",RY-TCPD-Gal-SR-11/4,SURTIDOR ELECTRICO,MXN,05/09/2024,,0,,,0,,280,Rymco,,
CONDULETS Y ACCESORIOS,Pza,material,"Conector Curvo Metalico a 90� de 2"" P/Tubo Flexible Licuatite, ELT-20090",4900408,BRICOS (MAYOREO ELECTRICO),MXN,28/02/2025,COEL (Material y equipo electrico),0,28/09/2024,,0,28/09/2024,301,Crouse Hinds,MXN,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Contactor SIRIUS 3RT2, 3P, 2NA + 2NC, 7A, bobina 110-120V, 3kW",3RT2015-1CK64-3MA0,wesco,MXN,07/08/2025,,0,,,0,,1.505,SIEMENS,,
,,,,,,,,,0,,,0,,0,,,
HARDWARE Y SOFTWARE,Licencia,equipos y componentes,License Maintenance & Support Contract for 270 Tags,DR-MAINT.DR250,Ocean Data Systems,USD,01/10/2024,,0,,,0,,850,Dream Report,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,PanelView 7 Plus Standard tama�o de 10 pulgadas funciona a 24V DC,2711P-T10C21D8S,Allen Bradley,USD,06/03/2026,,0,,,0,,3.26,Allen Bradley,,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
CONDULETS Y ACCESORIOS,Pza,material,"Tuerca monitor de 2-1/2""",1037/ 4900251,BRICOS (MAYOREO ELECTRICO),MXN,01/07/2025,,0,,,0,,55,Crouse Hinds,,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
CONDULETS Y ACCESORIOS,Pza,material,"Condulet T Serie 9 Con Tapa de 3/4"", T29",607020,BRICOS (MAYOREO ELECTRICO),MXN,21/02/2025,,0,,,0,,258,Crouse Hinds,,
,,,,,,,,,0,,,0,,0,,,
ACCESORIOS Y CONSUMIBLES,Pza,material,Broca Para Metal De 3/16'',11126,HOME CENTER,MXN,24/09/2025,Ferremayoreo Elizondo,0,17/01/2026,,0,,38,Trupper,MXN,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Fuente De Alimentaci�n 480W 24-28V 110-300VCA Monofasico.,1606-XLS480E,RISOUL,USD,23/10/2025,,0,,,0,,920,Allen Bradley,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Reactor de l�nea de carga, 0.09 MH, 250 Amps.",RL-25002B14,RISOUL,USD,,,0,,,0,,1.294,MTE,,
GABINETES Y COMPONENTES,Jgo,equipos y componentes,Juego De Cubrebornes Aislantes Altos Para ITM T5 3P,1SDA054960R1,ACOMEE,MXN,05/02/2025,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),0,06/02/2025,,0,,900,ABB,MXN,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Interruptor Termomagnetico HHED 3P 30 A 600 V, 65 kA",HHED63B030,wesco,MXN,11/08/2025,,0,,,0,,10.798,SIEMENS,,
,,,,,,,,,0,,,0,,0,,,
CHAROLAS Y ACCESORIOS,Pza,material,"Curva vertical interior 90� de 16""",VIZ-16R08901A,Soportes Electricos,MXN,18/07/2025,,0,,,0,,227,Soportes El�ctricos,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Kit De Montaje LCP Con Pantalla Gr�fica LCP102, 3 MTS",130B1113,ASESOR EL�CTRICO,USD,05/08/2025,,0,,,0,,210,Danfoss,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Modulo de entradas y salidas SM 1223, 16 DI/16 DO, 16 DI 24 V DC, Sink/Source, 16 DO, transistor 0.5 A",6ES7223-1BL32-0XB0,,,,,0,,,0,,0,SIEMENS,,
CONDULETS Y ACCESORIOS,Pza,material,"Conector Curvo de Aluminio r-std.90� de 1/2"" P/Tubo Flexible Licuatite Con Recubrimiento De PVC y Uretano Amarillo",RYC-ST9050AL,RISOUL,MXN,20/03/2026,,0,,,0,,337,Repsa,,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
TUBERIA CONDUIT,Pza,material,"Codo Conduit de 1/2"" x 90� Pared Gruesa, OM",MET-3511,IMPULSORA,MXN,06/02/2025,,0,,,0,,36,OMEGA,,
CONDULETS Y ACCESORIOS,Pza,material,"Cople Para Tuberia Conduit Pared Gruesa de 4""",5000051,BRICOS (MAYOREO ELECTRICO),MXN,11/10/2024,,0,,,0,,492,KOBREX,,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Paneles Laterales 2000X500MM, Atornillable, Chapa De Acero Para series VX",8105245,BRICOS (MAYOREO ELECTRICO),MXN,02/05/2024,,0,05/11/2024,,0,,3.608,Rittal,MXN,
,,,,,,,,,0,,,0,,0,,,
TIERRAS FISICAS Y PARARRAYOS,Pza,material,"Carga Exotermica No. 150, CWD",150,ELECTRICA RIMAR,USD,13/03/2025,,0,,,0,,21,CADWELD,,
CONDULETS Y ACCESORIOS,Pza,material,"Tuerca Union Conduit Hembra 2"" De Aluminio P/Areas Peligrosas, UNF605SA",UNF605 SA,BRICOS (MAYOREO ELECTRICO),MXN,20/03/2026,,0,,,0,,1.523,Crouse Hinds,,
CABLES DE FUERZA,mts,material,"Cable Monopolar Calibre 2 AWG THW-LS/THHW-LS 600V, Color Negro. GC",C15CE00002PANE/ 20448271,RISOUL,MXN,09/02/2026,,0,,,0,,115,General Cable,,
CONDULETS Y ACCESORIOS,Pza,material,"Condulet X serie 7 con tapa de 3/4""",X-27,BRICOS (MAYOREO ELECTRICO),MXN,30/09/2023,,0,,,0,,427,Crouse Hinds,,
CABLES DE CONTROL,mts,material,Cable flexible de control Multiconductor 7x16 VV-K 7G1.5 MM2 16 AWG 0.6/1 KV,6107015,NORDEN KABEL,USD,04/07/2024,,0,,,0,,2,RCT,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Kit,equipos y componentes,"Torre de se�alizaci�n, zoclo y tubo pl�stico de 110 mm largo",1SFA616075R1011,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,10/11/2023,,0,,,0,,550,ABB,,
,,,,,,,,,0,,,0,,0,,,
CONDULETS Y ACCESORIOS,Pza,material,"Abrazadera Unicanal de 1-1/2"" Con Recubrimiento De PVC y Uretano Amarillo",RYC-SS150,RISOUL,MXN,05/03/2026,,0,,,0,,0,Repsa,,
CABLES DE CONTROL,mts,material,Cable Multiconductor 8 x16 de 300 a 500V,300080015,NORDEN KABEL,USD,12/09/2024,,0,,,0,,0,YSLY JZ,,
,,,,,,,,,0,,,0,,0,,,
CABLES DE FUERZA,mts,material,"Cable monopolar calibre 8 awg H07V2-K, tri-rated UL clase 5, 750V color negro",H07-1200030100,GRUPO IMEX,MXN,06/03/2026,,0,,,0,,71,TOPCABLE,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Arrancador VFD para HVAC de 5 HP'S, 440�480 VAC, 23A, IP21",ACH580-01-023A-4,,,,,0,,,0,,0,ABB,,
GABINETES Y COMPONENTES,Pza,instrumento,"Transductor de humedad temperatura (0-100%/0-100gc) ,/4-20ma/exact: 5 %/24vcd/ip65/ 1.00 mt de extension forro de pvc. serie TRH-300",TRH-303,WEST Instruments de Mexico,MXN,23/07/2024,,0,,,0,,5.855,RIXEN,,
ACCESORIOS Y CONSUMIBLES,Paquete,material,"Terminales Ferrul Para Cable Calibre 10awg H6,0/20D GE (100 pza)",9019220000,GRUPO IMEX,MXN,11/02/2026,,0,,,0,,150,WEIDM�LLER,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Caja para conector R�pido, enclave lateral Inf. y entrada cable superior M20 HDC-04A-TOLU-1M20G",1788820000,,,,,0,,,0,,0,WEIDM�LLER,,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
CABLES DE COMUNICACI�N,Pza,equipos y componentes,"Placa Pasacables Rittal de 440 x 75 mm Para Series VX, VX IT, VX SE",8001212,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,30/08/2024,,0,,,0,,250,Rittal,,
CONDULETS Y ACCESORIOS,Pza,material,"Conector Glandula A Prueba de Explosion de 1/2"" Para Cable Con Revestimiento Metalico",TMCX050A,ACOMEE,MXN,20/09/2024,,0,,,0,,870,Appleton,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Compacto-bot�n iluminado rasante color rojo 24VDC/�22 mm,CP1-11R-01,MEISA (MONTERREY ELECTRICO INDUSTRIAL SA de CV),MXN,10/11/2023,,0,,,0,,298,ABB,,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,Torreta de 2 colores 24V Green-Red No Audible,TL30BGRXXXNXQD,,,,,0,,,0,,0,BANNER,,
HERRAJES DE FIJACI�N,Pza,material,"Mordaza de acero con tornillo de 3/8"" para fijaci�n de barra",MA38114T,BRICOS (MAYOREO ELECTRICO),MXN,06/03/2025,ACOMEE,0,29/08/2025,,0,,29,ANCLO,MXN,
,,,,,,,,,0,,,0,,0,,,
GABINETES Y COMPONENTES,Pza,equipos y componentes,"Banco De Baterias, Tiempo Respaldo 26min, 72V, P/ UPS-IND RP 1102 (requiere UPS con cargador adicional)",TG-BBat26min-RP1102,Industronic,USD,08/07/2025,,0,,,0,,470,Industronic,,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
,,,,,,,,,0,,,0,,0,,,
